Name,Description,final_model_importance,mean_outer_fold_importance,outer_folds_used
ENSG00000232385.2,RPS3AP25,0.0024095224,5.4323602e-05,1
ENSG00000259151.2,CAP2P1,0.0023991151,0.0,0
ENSG00000204428.12,LY6G5C,0.0023961565,0.0,0
ENSG00000132196.13,HSD17B7,0.0023941742,0.0,0
ENSG00000137601.16,NEK1,0.0023924615,0.0,0
ENSG00000147168.12,IL2RG,0.0023885379,0.0040032943,3
ENSG00000143842.14,SOX13,0.0023858852,0.0,0
ENSG00000008517.16,IL32,0.002378207,0.00043532322,2
ENSG00000267169.1,CTB-55O6.12,0.0023474647,0.0,0
ENSG00000114626.17,ABTB1,0.0023421876,0.0014727477,4
ENSG00000276727.1,RP11-123K3.9,0.0023117498,0.0002865103,1
ENSG00000169347.16,GP2,0.002309839,0.0,0
ENSG00000166928.10,MS4A14,0.002302809,0.0025563925,2
ENSG00000001629.9,ANKIB1,0.0022982392,0.0,0
ENSG00000148832.15,PAOX,0.0022973518,0.0,0
ENSG00000170092.14,SPDYE5,0.002281992,0.0,0
ENSG00000211804.3,TRDV1,0.0022732867,0.0,0
ENSG00000187164.19,SHTN1,0.0022670494,0.0,0
ENSG00000134716.9,CYP2J2,0.0022627874,0.0,0
ENSG00000184730.10,APOBR,0.0022552228,0.0,0
ENSG00000163424.8,C3orf30,0.00225431,0.0006138225,1
ENSG00000128165.8,ADM2,0.002242421,0.0013471155,1
ENSG00000155111.14,CDK19,0.0022422578,0.00040159622,1
ENSG00000145388.14,METTL14,0.0022377248,0.0,0
ENSG00000163618.17,CADPS,0.002237531,0.0,0
ENSG00000147586.9,MRPS28,0.0022327483,0.0047597527,2
ENSG00000144182.16,LIPT1,0.0022199533,0.0,0
ENSG00000185305.10,ARL15,0.0022192923,0.0,0
ENSG00000279434.1,RP11-85K15.3,0.0022072399,0.0,0
ENSG00000115685.14,PPP1R7,0.0022002712,0.0,0
ENSG00000135424.15,ITGA7,0.0021967343,0.0,0
ENSG00000041515.15,MYO16,0.0021909,0.0,0
ENSG00000006327.13,TNFRSF12A,0.0021869773,0.0,0
ENSG00000174669.11,SLC29A2,0.002182184,0.0019113902,2
ENSG00000125743.10,SNRPD2,0.002167318,0.0,0
ENSG00000136732.14,GYPC,0.0021557047,0.0002082397,1
ENSG00000117707.15,PROX1,0.0021526094,0.0,0
ENSG00000179913.10,B3GNT3,0.002137063,0.00029733664,1
ENSG00000016490.15,CLCA1,0.0021353331,0.000728425,1
ENSG00000108091.10,CCDC6,0.0021309562,0.0,0
ENSG00000030419.16,IKZF2,0.0021190282,0.0017982752,2
ENSG00000260528.4,FAM157C,0.0020970064,0.00036916364,1
ENSG00000157999.5,ANKRD61,0.0020967869,0.0,0
ENSG00000101608.12,MYL12A,0.0020872133,0.00015491313,2
ENSG00000123349.13,PFDN5,0.0020783413,0.00056653144,1
ENSG00000111218.11,PRMT8,0.0020774277,0.0,0
ENSG00000136770.10,DNAJC1,0.00206866,0.0,0
ENSG00000124635.8,HIST1H2BJ,0.0020677305,0.0,0
ENSG00000174944.8,P2RY14,0.0020670344,0.0,0
ENSG00000076924.11,XAB2,0.0020592695,0.00012294757,1
ENSG00000114923.16,SLC4A3,0.0020478377,0.00010055427,1
ENSG00000207493.1,SNORA46,0.0020351883,0.00022172963,1
ENSG00000268034.1,AC005795.1,0.0020324015,0.0029405518,2
ENSG00000166091.19,CMTM5,0.0020322334,0.0,0
ENSG00000232320.6,AC009299.5,0.0020305947,0.0,0
ENSG00000161265.14,U2AF1L4,0.002008823,0.0,0
ENSG00000134243.11,SORT1,0.002008817,7.471229e-06,1
ENSG00000179010.14,MRFAP1,0.0020085352,0.0,0
ENSG00000278771.1,RN7SL3,0.0020076886,0.0,0
