hidden_layers,learning_rate,weight_decay,batch_size,mean_inner_auc,std_inner_auc,median_best_epoch
"[64, 16]",0.00188,0.00285,8,0.6643162393162393,0.12017032523747838,31
[16],0.00183,6.25e-05,32,0.5978632478632478,0.11171838767724733,5
"[256, 64, 32]",0.0001,0.000974,16,0.5636446886446886,0.06787376275140848,5
[64],0.000252,0.000925,16,0.5615995115995116,0.13129501022416085,5
"[128, 64, 16]",0.000115,0.000451,32,0.5602106227106226,0.12526178828622858,6
"[256, 64]",0.000935,0.000642,32,0.5561660561660562,0.08943871383799419,5
"[256, 128, 32]",0.00509,1.54e-05,8,0.5522359584859584,0.1724556759026645,8
"[128, 64]",0.000985,0.000801,16,0.5471153846153847,0.08215330798305606,6
"[256, 256, 16]",0.00229,0.000226,32,0.5464285714285715,0.10798660449515238,5
"[256, 256]",0.00107,0.000858,32,0.5449175824175825,0.11061701546058403,5
"[256, 128, 32]",0.000154,0.00252,16,0.5422466422466422,0.07894361003978548,5
[16],0.00154,0.00989,8,0.5419719169719169,0.07693706250534421,77
"[128, 32, 32]",0.00402,0.00155,16,0.5372100122100123,0.13759965476051386,5
"[32, 16]",0.000552,0.00769,32,0.5307387057387057,0.08845716249327382,5
"[128, 32]",0.000142,0.00019,16,0.5297313797313797,0.05799348115611497,5
"[128, 64, 32]",0.000379,0.00109,16,0.5179334554334554,0.08359160618218782,5
"[32, 32, 16]",0.00217,0.00139,8,0.5153693528693528,0.09955117586459082,5
[16],0.00576,0.000377,8,0.5149420024420024,0.11217322366290364,5
"[64, 16, 16]",0.000115,0.00209,8,0.5113553113553113,0.06305013220494413,5
"[256, 128, 32]",0.00287,2.98e-05,16,0.5078144078144078,0.07889651277995657,5
"[128, 32, 16]",0.000928,2.6e-05,8,0.4977106227106226,0.06767482136773464,5
"[128, 128]",0.00252,0.00245,8,0.49581807081807083,0.044681498935372745,9
"[256, 32, 16]",0.0016,8.18e-05,32,0.4924603174603175,0.08703880729713721,5
"[64, 16, 16]",0.00198,0.000471,32,0.4915445665445666,0.11107900906863909,5
"[256, 32]",0.00609,0.00102,16,0.4898962148962148,0.09061604477424572,9
[32],0.0008,0.00606,16,0.48913308913308917,0.1310594860573207,5
"[64, 64, 16]",0.00251,0.00154,32,0.484920634920635,0.09093370537628107,5
[16],0.00119,5.67e-05,16,0.4840811965811966,0.15275181328587517,5
[256],0.00169,0.000185,32,0.4681318681318681,0.12267702491639533,5
"[32, 16]",0.0067,0.000722,32,0.461050061050061,0.09675246883743414,6
