n_estimators,max_depth,learning_rate,gamma,subsample,colsample_bytree,min_child_weight,reg_lambda,scale_pos_weight,mean_inner_auc,std_inner_auc
300,4,0.0479,0.1,0.8,0.3,3,10,1.615,0.5436507936507936,0.11561952196296825
200,2,0.0195,0.1,0.8,0.3,3,1,1.615,0.5407967032967033,0.12013870250631659
300,2,0.0134,0.1,0.8,0.3,1,1,1.5,0.53258547008547,0.12657335127714858
200,4,0.0917,0.0,0.8,0.05,1,1,1.5,0.5280219780219781,0.20250558665369625
200,4,0.0165,0.0,0.8,0.1,3,1,2.0,0.5266025641025641,0.14113081653197343
300,3,0.0227,0.1,0.8,0.1,3,1,1.0,0.5222680097680097,0.14444195200775264
300,3,0.0545,0.1,0.8,0.05,1,10,1.5,0.5222069597069596,0.16424925474962623
300,3,0.0491,0.1,0.8,0.1,5,1,1.0,0.5197191697191696,0.20074804368731106
300,3,0.0642,0.1,0.8,0.05,1,1,1.5,0.5196581196581197,0.18401276227419291
500,3,0.0207,0.0,0.8,0.05,5,1,1.615,0.5191544566544566,0.1678326444409707
100,3,0.0849,0.1,0.8,0.05,1,10,1.615,0.518574481074481,0.14964063018698417
500,4,0.0686,0.1,0.8,0.1,3,10,2.0,0.5176434676434676,0.16092256453087195
300,5,0.0176,0.0,0.8,0.5,1,1,1.5,0.5164987789987789,0.1376969290697278
300,5,0.023,0.1,0.8,0.1,1,10,1.0,0.5152319902319902,0.1418441380426025
100,4,0.0675,0.0,0.8,0.1,3,10,2.0,0.5102258852258852,0.14711014263416589
200,5,0.0131,0.0,0.8,0.1,3,1,1.0,0.51001221001221,0.13494835796799978
500,3,0.0115,0.0,0.8,0.1,3,5,2.0,0.5042887667887668,0.12849248187443837
300,5,0.0604,0.0,1.0,0.05,5,1,2.0,0.5039377289377289,0.13643165509180646
500,3,0.027,0.0,0.8,0.1,1,5,1.5,0.5021520146520146,0.14458525170008227
300,4,0.0166,0.0,1.0,0.3,3,5,2.0,0.5007020757020757,0.1255411626707369
100,4,0.0321,0.1,1.0,0.5,5,1,1.5,0.49821428571428567,0.1328244845157401
300,3,0.0129,0.0,0.8,0.1,1,10,1.615,0.4941239316239316,0.13007538513872519
300,2,0.0111,0.0,1.0,0.3,1,5,1.5,0.4922313797313798,0.13288423975504782
100,2,0.0328,0.0,1.0,0.5,1,5,1.5,0.4888583638583638,0.10708284745559066
300,2,0.0981,0.0,1.0,0.5,1,10,1.0,0.4874542124542125,0.14191223426018548
500,5,0.012,0.0,1.0,0.05,1,1,1.0,0.4861263736263736,0.16778184102199684
200,5,0.0438,0.1,1.0,0.5,3,5,1.5,0.4852106227106227,0.13546959454444296
300,2,0.0973,0.1,1.0,0.05,3,10,1.0,0.4841117216117216,0.12523236035469282
300,4,0.0471,0.0,1.0,0.05,3,1,1.0,0.48348595848595843,0.13842055476334342
300,2,0.0331,0.0,1.0,0.5,1,1,1.615,0.4819902319902319,0.1237985576243407
300,5,0.0455,0.0,1.0,0.3,3,5,1.0,0.4804639804639804,0.14109685637458372
100,5,0.0445,0.1,0.8,0.5,5,5,1.615,0.48020451770451766,0.1136468705935914
100,3,0.0105,0.0,1.0,0.05,1,5,2.0,0.4771520146520147,0.16068978482826132
100,2,0.0159,0.0,1.0,0.5,1,5,1.0,0.477045177045177,0.07652708328924138
500,3,0.0112,0.0,1.0,0.05,1,1,1.0,0.4768772893772894,0.1723983017272396
500,2,0.0306,0.0,1.0,0.5,3,5,1.0,0.4766178266178266,0.14398747010957086
100,3,0.0306,0.1,1.0,0.1,3,5,2.0,0.4758089133089133,0.14890803226444665
500,4,0.0299,0.0,1.0,0.1,5,5,1.0,0.4757020757020757,0.11615172216923893
100,2,0.0673,0.1,0.8,0.5,5,10,1.0,0.47501526251526255,0.1088821570353148
200,3,0.0581,0.0,1.0,0.3,5,5,1.5,0.47466422466422464,0.1267630683642122
100,5,0.0948,0.1,1.0,0.3,5,5,1.615,0.4735958485958486,0.12415059419073338
300,2,0.0653,0.0,1.0,0.1,3,10,1.615,0.4695970695970696,0.1774070501895278
500,4,0.0384,0.1,1.0,0.3,3,5,2.0,0.46660561660561656,0.11976607418333642
500,4,0.0974,0.0,1.0,0.3,3,10,1.615,0.46428571428571425,0.14819894460726568
300,5,0.0652,0.1,1.0,0.5,3,10,1.5,0.4637820512820513,0.14565859624279356
500,3,0.0141,0.1,1.0,0.3,5,5,2.0,0.4629884004884004,0.15197298469432224
500,3,0.0443,0.1,1.0,0.3,3,5,1.615,0.4614163614163614,0.13890287812453106
200,5,0.0584,0.1,1.0,0.05,3,5,1.0,0.45721916971916976,0.12867268494768472
500,2,0.0316,0.1,1.0,0.1,5,10,1.0,0.45717338217338216,0.12532084647266756
100,4,0.0165,0.1,1.0,0.1,1,1,1.0,0.4481990231990232,0.1528056624862079
