n_estimators,max_depth,learning_rate,gamma,subsample,colsample_bytree,min_child_weight,reg_lambda,scale_pos_weight,mean_inner_auc,std_inner_auc
100,5,0.0604,0.1,1.0,0.3,5,1,1.0,0.6983211233211233,0.13032804460213243
500,4,0.0185,0.0,0.8,0.3,5,5,1.0,0.6524114774114774,0.11173395710079193
300,2,0.0737,0.0,1.0,0.5,1,5,1.5,0.6484432234432234,0.10320466098421562
300,3,0.0585,0.0,0.8,0.3,5,1,1.5,0.647985347985348,0.09154709647889753
500,3,0.0219,0.0,1.0,0.1,5,1,2.0,0.6443986568986569,0.14003507882471514
200,3,0.087,0.0,0.8,0.3,5,10,1.5,0.6438644688644689,0.1183110200079252
500,2,0.0592,0.0,1.0,0.3,3,1,1.5,0.6332875457875458,0.07435938317522366
100,2,0.0867,0.0,1.0,0.05,5,1,2.0,0.6245726495726496,0.13444069760136795
200,3,0.0723,0.0,0.8,0.5,3,10,2.0,0.619017094017094,0.1220452314805277
100,2,0.052,0.0,1.0,0.3,5,1,1.615,0.619017094017094,0.07945126211440115
300,4,0.0885,0.0,1.0,0.5,5,1,1.5,0.6179029304029304,0.08718276834476148
300,2,0.0535,0.0,1.0,0.5,1,1,1.5,0.6127442002442003,0.05882441479925472
100,2,0.0374,0.0,1.0,0.05,3,1,1.0,0.6063339438339438,0.16556969377161573
100,5,0.063,0.1,0.8,0.5,1,1,1.5,0.6060592185592186,0.0502282977287783
500,4,0.0211,0.0,1.0,0.3,1,10,1.0,0.605448717948718,0.08418301755195187
100,2,0.0863,0.1,1.0,0.3,1,5,2.0,0.6049450549450549,0.084348656867483
100,2,0.0467,0.1,1.0,0.1,5,5,1.0,0.5946581196581197,0.09875452726150333
100,2,0.0136,0.0,1.0,0.05,3,1,1.5,0.5923687423687423,0.16748198049845794
500,3,0.0125,0.1,1.0,0.3,1,10,1.615,0.5905982905982906,0.03951921016810121
500,2,0.0753,0.1,0.8,0.05,3,5,1.5,0.5809523809523809,0.10177194642391321
300,2,0.0754,0.1,0.8,0.1,5,1,1.0,0.5793498168498168,0.14464831334486614
500,5,0.0429,0.0,0.8,0.1,5,1,1.615,0.578052503052503,0.14638015735714108
100,4,0.0102,0.1,0.8,0.5,3,1,1.0,0.5748626373626374,0.07688873616906033
100,2,0.0107,0.1,1.0,0.05,5,1,1.615,0.5721459096459096,0.15498386861943952
300,5,0.0109,0.1,0.8,0.5,3,10,1.0,0.5716422466422466,0.08232583967584976
500,4,0.0126,0.0,1.0,0.1,1,10,1.0,0.5692612942612942,0.10861917247928349
500,4,0.031,0.1,1.0,0.5,1,1,1.615,0.5689713064713066,0.06002318621931372
300,2,0.0351,0.1,0.8,0.1,5,10,1.0,0.567567155067155,0.0950670883695871
200,2,0.0202,0.0,1.0,0.5,5,10,2.0,0.5657967032967033,0.08589065048138783
200,2,0.0218,0.1,1.0,0.1,5,10,1.615,0.5638278388278388,0.11861771420306734
300,3,0.0283,0.0,0.8,0.1,1,1,1.0,0.5607448107448108,0.1252050209158944
300,5,0.0293,0.1,1.0,0.5,1,5,2.0,0.5590659340659341,0.04383707514170977
300,3,0.0303,0.1,0.8,0.05,5,10,1.615,0.5582570207570208,0.11654791341659955
200,4,0.0665,0.1,0.8,0.05,5,10,1.0,0.5571886446886447,0.12001386544565178
100,3,0.0354,0.1,0.8,0.05,5,10,2.0,0.5549908424908424,0.10404110292360101
100,5,0.0179,0.0,0.8,0.5,1,5,2.0,0.5536324786324787,0.06527902852838577
300,3,0.0435,0.1,0.8,0.3,1,1,1.615,0.5503815628815628,0.09148433638806963
300,2,0.0132,0.1,0.8,0.1,5,10,1.0,0.5503052503052503,0.09916403659978257
100,3,0.0213,0.0,1.0,0.5,3,10,1.5,0.5462148962148962,0.049979744878308606
200,4,0.0749,0.0,0.8,0.05,3,10,1.5,0.5458791208791209,0.09450767096637842
500,2,0.0193,0.0,0.8,0.1,1,5,1.0,0.5403846153846155,0.0983185212908236
100,4,0.0193,0.1,1.0,0.1,1,5,1.5,0.5393162393162394,0.09547997045765716
100,4,0.0124,0.1,0.8,0.1,1,10,1.615,0.5371336996336996,0.07494721797379955
100,2,0.0263,0.0,1.0,0.1,5,10,1.615,0.5353632478632477,0.1348633840254374
100,5,0.0113,0.1,1.0,0.1,1,1,2.0,0.5335622710622712,0.0818518889374307
200,4,0.0107,0.0,1.0,0.1,1,10,1.5,0.5261904761904762,0.11142182860789687
100,2,0.0132,0.0,0.8,0.3,1,1,1.5,0.5232753357753358,0.053394323276163974
100,5,0.0255,0.0,0.8,0.1,1,10,1.5,0.5186355311355312,0.09630227462803177
100,5,0.0284,0.1,0.8,0.05,3,1,2.0,0.5082875457875458,0.10310565610865349
100,2,0.0115,0.0,1.0,0.3,5,1,1.615,0.50752442002442,0.05869542504708407
