n_estimators,max_depth,learning_rate,gamma,subsample,colsample_bytree,min_child_weight,reg_lambda,scale_pos_weight,mean_inner_auc,std_inner_auc
100,4,0.0575,0.1,0.8,0.1,3,5,1.615,0.492887667887668,0.08338086488891604
300,2,0.0931,0.0,0.8,0.05,3,1,1.0,0.4476343101343101,0.11734866270312126
300,2,0.0812,0.1,0.8,0.05,5,1,1.615,0.44703907203907206,0.12521095113017047
100,3,0.0101,0.0,0.8,0.1,1,10,2.0,0.44502442002441994,0.13280629880752964
200,3,0.0147,0.0,0.8,0.1,5,10,1.0,0.4419719169719169,0.12505266461662431
100,4,0.0633,0.1,0.8,0.5,5,10,1.0,0.44068986568986573,0.09483251510504069
200,4,0.0416,0.0,1.0,0.05,1,5,2.0,0.4377594627594627,0.12535901775728953
500,5,0.0436,0.1,1.0,0.5,3,5,2.0,0.43147130647130655,0.10026341423020627
100,5,0.02,0.0,0.8,0.1,3,10,1.615,0.43041819291819294,0.13198143033649679
100,2,0.0459,0.0,1.0,0.05,5,1,1.0,0.4218711843711843,0.11195258339371826
100,5,0.0213,0.0,1.0,0.05,3,1,1.615,0.4201617826617826,0.1139437793997913
200,2,0.0433,0.1,0.8,0.3,1,5,2.0,0.41785714285714287,0.08213895209211629
500,5,0.0968,0.0,1.0,0.5,3,10,2.0,0.41710927960927957,0.09222819861777928
300,2,0.0391,0.1,0.8,0.5,5,5,1.615,0.4163614163614164,0.12115083562472224
200,3,0.0157,0.1,1.0,0.1,3,10,2.0,0.41619352869352866,0.12294670595017661
200,2,0.0161,0.1,0.8,0.1,1,5,2.0,0.4146214896214896,0.13036880142499427
100,5,0.0275,0.1,0.8,0.1,3,10,2.0,0.4143467643467644,0.13262338244891766
200,2,0.0351,0.0,1.0,0.3,1,1,1.615,0.41288156288156286,0.1670141276978644
500,5,0.0116,0.1,1.0,0.5,1,5,1.615,0.4128357753357753,0.11706865822136857
200,2,0.092,0.0,1.0,0.1,1,5,2.0,0.41172161172161176,0.1097360173822397
500,4,0.0362,0.0,0.8,0.1,3,1,1.0,0.4081196581196581,0.11915383448100159
200,2,0.0164,0.1,1.0,0.1,1,5,1.0,0.40775335775335775,0.10685038025420215
300,2,0.0222,0.1,0.8,0.3,1,10,1.5,0.40676129426129426,0.10038382659081695
500,5,0.0116,0.1,0.8,0.1,3,1,1.0,0.4047771672771672,0.10613126658808499
500,3,0.0969,0.1,1.0,0.5,3,10,1.5,0.403968253968254,0.10919775843494187
200,5,0.0586,0.0,1.0,0.5,1,10,1.0,0.40334249084249085,0.12708399115126268
500,5,0.0285,0.0,0.8,0.5,5,5,2.0,0.40117521367521364,0.10071947642700385
300,4,0.0131,0.0,0.8,0.5,5,5,2.0,0.39948107448107445,0.10590224540308034
500,5,0.022,0.1,1.0,0.5,3,10,1.5,0.3986721611721612,0.11306460077968408
500,3,0.0371,0.1,0.8,0.5,1,5,1.5,0.39713064713064716,0.10180310769581706
500,3,0.0125,0.1,0.8,0.5,5,1,1.615,0.39708485958485956,0.10755325137239795
500,3,0.0425,0.1,1.0,0.3,5,5,1.615,0.3958638583638584,0.09443464095132478
300,2,0.0138,0.1,0.8,0.05,3,1,1.5,0.39568070818070816,0.09566380325081329
500,3,0.0125,0.0,0.8,0.1,5,10,1.5,0.39507020757020755,0.12885782438693982
500,5,0.0503,0.1,0.8,0.5,1,1,2.0,0.3930555555555556,0.06230756190472115
500,5,0.0383,0.1,1.0,0.1,5,10,1.615,0.39186507936507936,0.11036244473668334
100,5,0.0304,0.0,0.8,0.5,3,5,1.5,0.39184981684981685,0.0988675209669799
200,4,0.0774,0.0,0.8,0.3,1,10,2.0,0.3913766788766789,0.12756600260344955
300,3,0.0458,0.0,0.8,0.5,3,5,2.0,0.3908119658119658,0.0874684516479263
200,2,0.0404,0.1,0.8,0.05,5,10,1.615,0.3883852258852259,0.11087956832487872
200,2,0.0592,0.0,0.8,0.3,3,5,2.0,0.38827838827838834,0.09398444490027726
500,5,0.0192,0.1,1.0,0.1,5,5,1.615,0.3870115995115995,0.09532246642395226
500,4,0.0682,0.0,0.8,0.3,3,10,2.0,0.3869352869352869,0.07970845125433887
300,2,0.0377,0.1,0.8,0.05,5,1,1.0,0.382493894993895,0.09008062703383422
200,4,0.0394,0.0,1.0,0.1,1,10,1.5,0.38235653235653233,0.11333857152144391
300,2,0.0455,0.0,0.8,0.3,3,5,1.5,0.38170024420024423,0.07745091909983715
500,5,0.0176,0.1,0.8,0.1,1,5,2.0,0.38093711843711847,0.11913029165029308
100,5,0.0911,0.0,0.8,0.05,3,10,1.615,0.37883089133089126,0.06303338887199722
100,3,0.0681,0.0,1.0,0.1,5,10,2.0,0.3781593406593407,0.1284171699528652
100,2,0.0224,0.0,0.8,0.5,3,1,2.0,0.37419108669108664,0.1004242132124081
