hidden_layers,learning_rate,weight_decay,batch_size,mean_inner_auc,std_inner_auc,median_best_epoch
"[256, 128, 16]",0.00561,0.00248,16,0.6257631257631256,0.08203136966121818,16
[64],0.00139,0.000479,32,0.5904456654456653,0.1516312878844293,7
"[16, 16]",0.000347,0.00123,8,0.5897893772893773,0.10226140926768626,5
"[256, 256]",0.00535,6.84e-05,16,0.583623321123321,0.09180317926807183,6
[16],0.000261,0.000134,32,0.5830891330891331,0.07300984943362712,5
[256],0.000697,0.00769,8,0.5821047008547009,0.15981373190404535,6
"[32, 16]",0.00186,1.54e-05,8,0.566529304029304,0.11102976860913875,6
[128],0.000416,0.000542,32,0.5568986568986569,0.07930016144277582,7
"[256, 32]",0.000125,0.00291,8,0.5559981684981684,0.10871741493999272,5
[16],0.00139,3.66e-05,8,0.5554181929181928,0.14851127715522233,7
"[64, 32, 16]",0.0013,2.51e-05,16,0.553434065934066,0.10280035402958863,5
"[256, 32, 32]",0.000145,0.000223,32,0.5479548229548229,0.10222864453229134,5
"[64, 32]",0.000194,0.00177,32,0.5474053724053723,0.1207811659879652,5
"[128, 32]",0.000289,1.77e-05,8,0.5471153846153846,0.08524609390966435,5
[128],0.000106,0.00311,8,0.5469017094017093,0.10013887352425173,5
"[64, 64]",0.000398,0.00242,32,0.5444597069597069,0.08860277251366802,5
"[256, 64]",0.000269,1.81e-05,16,0.5437728937728938,0.11413405706798758,5
"[16, 16]",0.000131,0.00202,8,0.5431929181929182,0.1324260472488501,5
"[256, 64, 32]",0.00246,0.000607,32,0.5401404151404152,0.0626584343059918,5
[256],0.00182,0.000561,8,0.5392551892551892,0.13310696952106635,7
"[128, 64, 16]",0.00106,3.13e-05,16,0.5388583638583639,0.13309113934214445,5
"[32, 32]",0.00217,1.17e-05,16,0.5352869352869353,0.18039972324478756,5
[32],0.00127,1.5e-05,32,0.5312423687423686,0.0757861805214969,7
[64],0.000166,0.000634,8,0.530006105006105,0.10098351847470857,5
[128],0.00107,0.000712,32,0.5283577533577534,0.10797351243742899,5
[16],0.000399,0.000306,16,0.5273199023199023,0.07865603912880037,5
"[32, 16]",0.00117,0.000675,16,0.5184371184371184,0.06133569854614038,5
"[256, 128]",0.000888,2.22e-05,16,0.5141788766788766,0.11660959198358067,7
"[128, 128, 64]",0.000984,0.000394,16,0.5116300366300367,0.1323928695610098,5
[64],0.00118,0.00703,32,0.4971459096459096,0.10990865122205344,100
