n_estimators,max_depth,learning_rate,gamma,subsample,colsample_bytree,min_child_weight,reg_lambda,scale_pos_weight,mean_inner_auc,std_inner_auc
200,4,0.0837,0.0,1.0,0.1,3,1,2.0,0.6415750915750916,0.1266572383765914
500,5,0.0205,0.0,0.8,0.3,5,5,2.0,0.6382783882783882,0.12044257043176004
200,3,0.0298,0.0,0.8,0.3,5,10,2.0,0.6339133089133089,0.10575081724323757
200,5,0.0246,0.1,0.8,0.1,3,5,1.615,0.6335622710622711,0.07356077950186983
500,4,0.063,0.0,0.8,0.5,5,1,2.0,0.628937728937729,0.09209920415430004
300,3,0.0354,0.0,0.8,0.05,5,10,1.0,0.6259310134310134,0.06460796858874976
200,2,0.0965,0.1,0.8,0.05,3,10,1.0,0.623046398046398,0.09164129424251742
200,2,0.016,0.1,0.8,0.05,5,5,1.0,0.6211691086691087,0.045620510851751575
500,5,0.025,0.1,0.8,0.5,5,5,1.0,0.6155067155067154,0.07515695519316057
200,4,0.0182,0.1,0.8,0.05,5,5,2.0,0.6128815628815628,0.06966505248791521
200,2,0.0122,0.1,0.8,0.1,1,10,2.0,0.6113553113553113,0.05582968835114825
300,3,0.0248,0.0,0.8,0.05,3,10,1.0,0.6109432234432235,0.0775419969975053
100,2,0.0177,0.1,0.8,0.05,5,5,1.0,0.6105616605616605,0.03008856919513245
300,5,0.0157,0.1,0.8,0.3,1,5,2.0,0.6066239316239317,0.08383314936135398
500,3,0.0344,0.1,1.0,0.05,3,1,1.5,0.6065476190476191,0.06982926825722267
200,2,0.015,0.0,0.8,0.05,3,10,1.5,0.6041971916971918,0.06544393201670806
100,5,0.0767,0.0,0.8,0.1,5,5,2.0,0.6039529914529914,0.13621124074145377
100,2,0.0538,0.1,1.0,0.3,5,5,1.615,0.6012210012210012,0.10979453982507323
500,2,0.0186,0.0,0.8,0.3,1,10,1.5,0.6007936507936508,0.06883670186071618
100,5,0.0227,0.0,1.0,0.05,1,5,1.5,0.5993589743589742,0.05808231849365436
300,4,0.0636,0.1,0.8,0.05,1,10,1.5,0.5976343101343101,0.0668841225722766
500,4,0.0118,0.0,1.0,0.05,1,10,1.615,0.5975579975579975,0.07345182792752317
100,3,0.0127,0.1,0.8,0.3,1,5,1.0,0.5944749694749694,0.0739945565974634
500,3,0.086,0.0,1.0,0.5,5,5,1.615,0.5907051282051283,0.11947856278010965
200,5,0.097,0.0,0.8,0.05,3,1,1.615,0.5897130647130646,0.06293457499787537
500,3,0.034,0.0,1.0,0.1,5,1,1.5,0.5885989010989011,0.09789318276044053
100,5,0.0212,0.0,1.0,0.5,5,10,2.0,0.5880494505494506,0.10558269511265667
200,5,0.0615,0.1,0.8,0.5,3,5,1.0,0.5878357753357755,0.08919330868379534
300,5,0.0139,0.0,1.0,0.1,1,10,1.5,0.586614774114774,0.09439517125583835
100,4,0.0729,0.1,0.8,0.3,5,5,1.615,0.5864163614163614,0.09847660601419085
300,4,0.0101,0.1,1.0,0.3,1,10,1.0,0.5856532356532356,0.10439809512359093
200,4,0.0425,0.0,1.0,0.5,5,10,1.5,0.5846611721611723,0.13475571104192519
300,2,0.0353,0.0,0.8,0.1,3,10,2.0,0.5844322344322345,0.07462114757828629
200,5,0.0549,0.0,0.8,0.5,3,10,1.0,0.5838217338217337,0.11008300875306894
300,4,0.0496,0.1,1.0,0.05,1,5,2.0,0.5834401709401709,0.07675614372550252
300,4,0.011,0.0,1.0,0.1,3,10,1.615,0.5823260073260073,0.0965901003096457
100,4,0.0297,0.0,1.0,0.5,5,5,1.615,0.5816391941391942,0.08212638065160278
300,4,0.081,0.1,0.8,0.3,5,1,1.5,0.5814255189255189,0.08174409256290481
300,5,0.0385,0.1,1.0,0.3,1,1,1.5,0.580418192918193,0.11951626841998024
200,2,0.0336,0.0,0.8,0.1,3,1,1.5,0.5785103785103785,0.07833206983286889
200,3,0.022,0.0,1.0,0.3,1,1,1.0,0.5769383394383395,0.10315679913359178
100,4,0.0335,0.1,1.0,0.3,5,1,1.0,0.5750457875457876,0.09603305711457931
200,4,0.0903,0.1,1.0,0.05,1,5,2.0,0.5737484737484737,0.06226576879629256
100,3,0.087,0.1,0.8,0.3,1,5,1.5,0.5700396825396825,0.0718456542604438
200,3,0.0984,0.0,0.8,0.5,5,1,2.0,0.5696275946275946,0.10214183343354764
500,2,0.0242,0.1,0.8,0.05,1,1,1.0,0.5673382173382173,0.06454450756982484
200,5,0.0731,0.1,1.0,0.3,5,5,1.5,0.5651098901098901,0.0846590514236604
500,3,0.0572,0.0,1.0,0.5,1,10,1.0,0.5583943833943834,0.13557837578293672
100,2,0.0886,0.0,1.0,0.05,1,1,1.5,0.5527014652014651,0.06386709798687715
100,2,0.0369,0.0,1.0,0.05,1,1,2.0,0.548901098901099,0.03377223389441397
