hidden_layers,learning_rate,weight_decay,batch_size,mean_inner_auc,std_inner_auc,median_best_epoch
"[32, 32]",0.00385,0.00466,16,0.6520604395604395,0.10892434886720144,43
"[64, 16]",0.00389,0.000581,8,0.6353479853479854,0.17603200476490746,6
[16],0.00892,3.3e-05,8,0.6344322344322343,0.09553634488799599,5
[16],0.00258,0.00712,8,0.6308150183150183,0.11433677258532424,36
"[32, 16]",0.00182,2.04e-05,8,0.6092796092796092,0.12041763043347496,5
[16],0.000707,0.00524,8,0.6048382173382173,0.16860115209279258,7
[32],0.00132,0.000193,16,0.6031288156288156,0.07573979179802146,6
[128],0.000122,0.000125,32,0.5953907203907204,0.15422419558522502,6
"[256, 32, 32]",0.00216,3.26e-05,16,0.5912240537240538,0.13325429721541246,5
[64],0.000108,1.8e-05,16,0.578464590964591,0.1254441161585855,6
[128],0.000585,0.00173,8,0.5781746031746031,0.08612662178050405,8
"[128, 64]",0.000199,6.38e-05,32,0.5750457875457875,0.09725575443913423,5
[128],0.000106,1.52e-05,8,0.5711080586080586,0.13896124539175497,5
[256],0.000129,0.000137,16,0.5703907203907204,0.15109420471913618,6
"[64, 16]",0.00182,1.79e-05,8,0.5674603174603174,0.12272985358652252,6
[16],0.000184,0.00412,32,0.5664377289377288,0.15584602837918313,5
"[128, 32]",0.000236,0.00107,16,0.5648504273504275,0.05175479317542441,5
"[64, 64]",0.00938,0.000529,8,0.5614850427350427,0.10368437420613974,7
"[256, 128, 128]",0.000975,1.98e-05,8,0.5543803418803418,0.08840803896502632,5
[16],0.00165,0.0075,8,0.5488095238095239,0.044731070813837884,29
"[128, 64, 16]",0.00198,1.94e-05,16,0.5485347985347986,0.12207866922724978,5
"[256, 16]",0.00799,0.000185,8,0.5439331501831501,0.06669991802613359,26
"[256, 64, 32]",0.00189,1.91e-05,32,0.5388278388278389,0.16930913252746652,6
"[32, 16]",0.00396,7.16e-05,16,0.5368589743589742,0.1505472293914738,7
[32],0.000482,1.35e-05,32,0.5347069597069597,0.08161647696604044,5
"[256, 128, 32]",0.000391,2.26e-05,16,0.5311202686202685,0.0960535336387767,5
"[128, 32]",0.000736,4.37e-05,16,0.52748778998779,0.12269539247085784,5
"[128, 64, 16]",0.000495,0.00391,32,0.5218864468864469,0.10879156583669754,5
"[128, 16, 16]",0.00506,9.79e-05,8,0.5199481074481074,0.07567771637801876,5
"[128, 64, 32]",0.00746,0.00126,32,0.4619810744810745,0.17690211868936545,5
