hidden_layers,learning_rate,weight_decay,batch_size,mean_inner_auc,std_inner_auc,median_best_epoch
"[256, 16]",0.00354,0.00586,16,0.5610347985347985,0.12806335371358551,11
"[128, 32]",0.00112,0.00539,32,0.5362484737484736,0.1480347933596136,5
[64],0.00432,0.000941,32,0.5237332112332111,0.1290833036912563,6
"[256, 32, 32]",0.00125,0.000203,8,0.5207264957264958,0.07732333148941792,5
"[32, 16, 16]",0.00999,0.0046,16,0.4998168498168498,0.03914547308569604,6
"[256, 64, 16]",0.000142,0.0072,32,0.49647435897435893,0.06127701252906878,5
"[256, 128, 128]",0.000786,0.0017,8,0.48901098901098905,0.13324883860195352,6
"[32, 32, 16]",0.000531,0.000235,8,0.4886752136752136,0.0912438938578163,5
"[256, 128, 64]",0.000112,2.23e-05,16,0.485485347985348,0.09451962458610905,5
[16],0.00136,0.000133,32,0.4815781440781441,0.07825365593022489,5
"[64, 16, 16]",0.000842,0.000298,16,0.4807844932844933,0.06773482521461904,5
"[256, 256, 128]",0.000372,0.00102,8,0.4799450549450549,0.11576357998747068,5
"[128, 64, 32]",0.000454,0.000362,32,0.4792429792429792,0.09542330029710795,5
[16],0.00356,1.95e-05,8,0.4787393162393162,0.11721200093489123,5
"[256, 128, 128]",0.000913,0.00011,16,0.4727411477411477,0.12668768449895648,5
"[256, 64, 16]",0.000677,1.28e-05,8,0.46985653235653235,0.08511729748835856,5
[128],0.000443,1.26e-05,8,0.46981074481074475,0.14164421672383085,8
[256],0.000735,0.000175,8,0.4530448717948718,0.14111393652014104,6
[64],0.00148,0.000413,16,0.45244200244200244,0.167455967614794,100
"[128, 16]",0.000952,0.000242,16,0.4486568986568987,0.09081189206448818,5
"[256, 64, 16]",0.000281,0.000173,8,0.4472069597069597,0.08137433693799687,5
"[64, 16]",0.00368,1.05e-05,16,0.44614621489621487,0.06122312637673919,5
"[256, 16]",0.00161,0.00014,16,0.44502442002441994,0.1776795122638175,6
[16],0.00266,9.88e-05,16,0.44355158730158734,0.05706160056693118,5
"[128, 32, 16]",0.000173,0.000233,8,0.4400335775335775,0.03546899034800764,5
"[256, 32]",0.000379,1.85e-05,32,0.4387667887667888,0.16488056279995122,5
"[64, 16]",0.000153,2.12e-05,16,0.43870573870573876,0.09008901483212585,5
[16],0.000787,0.00056,16,0.43145604395604387,0.04239757381960853,5
"[256, 64]",0.000242,0.000112,8,0.40915750915750915,0.03568580389612743,5
"[128, 16]",0.000102,2.52e-05,16,0.40520451770451765,0.07213029027239314,5
